M,experiment,lowrpm-stop-battery-D-and-quantum-vs-tilt-Q
M,powder_id,salt
M,gear_ratio_stepper_per_auger,44/20=2.2
M,steps_per_auger_rev,3520
M,full_steps_rev,200
M,microsteps,8
M,stepper_direction,1
M,accel_rev_per_s2,4.0
M,cap_g,32.0
M,hard_g,38.0
M,tare_mode,no-hardware-tare-absolute-differences
M,auger_tare_g,56.716
M,tilt_D,55.0
M,rpms_D,5|10|15|25
M,reps_D,5
M,cruise_revs_D,3
M,halt_phase_deg,0.0
M,rpm_Q,10.0
M,incr_deg_Q,20.0
M,tilts_Q,15|35|55
M,n_scans_Q,2
M,flow_check,1rev@30rpm@55deg
M,tilt_D2,25.0
M,reps_D2,2
M,planned_D_trials,20
M,planned_Q_scans,6
M,planned_D2_trials,8
M,incr_per_scan_Q,18
E,1040,baseline (no tare) + 15 s static noise stream
D,73263,2,settle,0.9824,S,0,4.0000,0.00
D,73455,2,settle,0.9824,S,0,4.0000,0.00
D,73647,2,settle,0.9824,S,0,4.0000,0.00
D,73839,2,settle,0.9824,S,0,4.0000,0.00
D,74031,2,settle,0.9824,S,0,4.0000,0.00
D,74223,2,settle,0.9824,S,0,4.0000,0.00
D,74415,2,settle,0.9824,S,0,4.0000,0.00
D,74607,2,settle,0.9824,S,0,4.0000,0.00
P,74800,2,settled,0.9824,S,4.0000,0.00
S,2,D,1,55,1,5,3,0.0,4.0000,-0.0054,0.9966,36.37,0.9824,-0.0142,0.9878,0.9824,ok
E,74808,=== D trial 3 : tilt 55 rep 1 rpm 10 cruise 3 rev -> halt phase 0 (abs 0.98) ===
P,76225,3,base,0.9818,S,4.0000,0.00
D,76320,3,preroll,0.9817,U,0,4.0000,0.00
D,76512,3,preroll,0.9817,S,0,4.0000,0.00
D,76703,3,preroll,0.9816,U,0,4.0000,0.00
D,76895,3,preroll,0.9815,U,0,4.0000,0.00
D,77086,3,preroll,0.9815,S,0,4.0000,0.00
D,77278,3,preroll,0.9814,U,0,4.0000,0.00
D,77472,3,move,0.9813,U,10,7.0000,0.00
D,77664,3,move,0.9813,S,10,7.0000,0.00
D,77856,3,move,0.9813,S,10,7.0000,0.00
D,78048,3,move,0.9815,U,10,7.0000,0.00
D,78240,3,move,0.9843,U,10,7.0000,0.00
D,78432,3,move,0.9803,U,10,7.0000,0.00
D,78624,3,move,0.9747,U,10,7.0000,0.00
D,78816,3,move,0.9752,U,10,7.0000,0.00
D,79008,3,move,0.9798,U,10,7.0000,0.00
D,79200,3,move,0.9833,U,10,7.0000,0.00
D,79379,3,move,0.9825,U,10,7.0000,0.00
D,79571,3,move,0.9799,U,10,7.0000,0.00
D,79763,3,move,0.9801,U,10,7.0000,0.00
D,79955,3,move,0.9809,U,10,7.0000,0.00
D,80147,3,move,0.9838,U,10,7.0000,0.00
D,80339,3,move,0.9844,U,10,7.0000,0.00
D,80531,3,move,0.9838,U,10,7.0000,0.00
D,80723,3,move,0.9838,U,10,7.0000,0.00
D,80915,3,move,0.9922,U,10,7.0000,0.00
D,81107,3,move,1.0058,U,10,7.0000,0.00
D,81299,3,move,1.0205,U,10,7.0000,0.00
D,81491,3,move,1.0382,U,10,7.0000,0.00
D,81683,3,move,1.0625,U,10,7.0000,0.00
D,81875,3,move,1.0937,U,10,7.0000,0.00
D,82067,3,move,1.1181,U,10,7.0000,0.00
D,82259,3,move,1.1325,U,10,7.0000,0.00
D,82451,3,move,1.1342,U,10,7.0000,0.00
D,82643,3,move,1.1293,U,10,7.0000,0.00
D,82835,3,move,1.1307,U,10,7.0000,0.00
D,83013,3,move,1.1307,U,10,7.0000,0.00
D,83205,3,move,1.1301,U,10,7.0000,0.00
D,83408,3,move,1.1310,U,10,7.0000,0.00
D,83600,3,move,1.1343,U,10,7.0000,0.00
D,83780,3,move,1.1322,U,10,7.0000,0.00
D,83972,3,move,1.1298,U,10,7.0000,0.00
D,84164,3,move,1.1302,U,10,7.0000,0.00
D,84356,3,move,1.1312,U,10,7.0000,0.00
D,84548,3,move,1.1316,U,10,7.0000,0.00
