M,experiment,afterflow-battery-C6-C8-B4-B5
M,powder_id,salt
M,cap_g,33.0
M,hard_g,35.0
M,standing_load_g_pretare,63.5
M,scale_max_g,102.0
M,fast_rpm,55.0
M,tap_every_polls,3
M,tap_on_ms,60
M,cont_s,6.0
M,prime_revs,3.0
M,taponly_n,15
M,settle_stream_s,8.0
M,auger_tare_g,56.716
M,total_loaded_g_original,127.98
M,dispensed_prior_attempt_g,10.16
M,total_onboard_est_g,117.82
M,salt_remaining_est_g,61.1
M,restart,attempt-2-after-operator-reset
M,planned_trials,58
E,1233,noise baseline: tare, 20 s static raw stream
P,3217,0,0.0,0,tare0,0.0004
D,56482,1,settle,0.8753,S,0,0
D,56578,1,settle,0.8752,U,0,0
D,56674,1,settle,0.8752,U,0,0
D,56770,1,settle,0.8752,U,0,0
D,56866,1,settle,0.8753,S,0,0
D,56962,1,settle,0.8753,S,0,0
D,57055,1,settle,0.8754,U,0,0
D,57151,1,settle,0.8754,U,0,0
D,57247,1,settle,0.8753,S,0,0
D,57343,1,settle,0.8754,S,0,0
D,57439,1,settle,0.8754,S,0,0
D,57535,1,settle,0.8755,U,0,0
D,57630,1,settle,0.8793,U,0,0
D,57726,1,settle,0.8792,U,0,0
D,57822,1,settle,0.8783,U,0,0
D,57918,1,settle,0.8777,U,0,0
D,58012,1,settle,0.8772,U,0,0
D,58107,1,settle,0.8770,U,0,0
D,58203,1,settle,0.8770,U,0,0
D,58299,1,settle,0.8771,U,0,0
D,58395,1,settle,0.8773,U,0,0
D,58491,1,settle,0.8774,U,0,0
D,58587,1,settle,0.8774,U,0,0
D,58683,1,settle,0.8774,U,0,0
D,58778,1,settle,0.8774,U,0,0
D,58872,1,settle,0.8774,S,0,0
D,58968,1,settle,0.8774,S,0,0
D,59064,1,settle,0.8774,S,0,0
D,59160,1,settle,0.8775,S,0,0
P,62125,1,55.0,1,settled2,0.8787
R,1,B5,55.0,1,55,0.00,cont,0.7425,6.16,0.8754,0.8787,0.8754,0.8754,0,cont_done
E,62133,=== trial 2 : C6 tilt 40.0 rep 1 rpm 55 halt 0.30 mode rot (cum 0.88 g) ===
P,72649,2,40.0,1,tare0,0.0013
D,72741,2,preroll,0.0014,U,0,0
D,72836,2,preroll,0.0014,U,0,0
D,72932,2,preroll,0.0015,U,0,0
D,73028,2,preroll,0.0016,U,0,0
D,73123,2,preroll,0.0017,U,0,0
D,73217,2,preroll,0.0018,U,0,0
D,73314,2,preroll,0.0018,U,0,0
D,73409,2,preroll,0.0019,U,0,0
D,73505,2,preroll,0.0019,U,0,0
D,73601,2,preroll,0.0020,U,0,0
D,73696,2,preroll,0.0021,U,0,0
D,73792,2,preroll,0.0021,U,0,0
D,73888,2,preroll,0.0022,U,0,0
D,73984,2,preroll,0.0023,U,0,0
D,74080,2,preroll,0.0023,U,0,0
D,74174,2,preroll,0.0023,U,0,0
E,74238,dispense start: mode rot rpm 55
D,74270,2,dispense,0.0024,U,55,0
D,74365,2,dispense,0.0024,U,55,0
D,74461,2,dispense,0.0025,U,55,0
D,74557,2,dispense,0.0026,U,55,1
D,74653,2,dispense,0.0027,U,55,1
D,74749,2,dispense,0.0028,U,55,1
D,74845,2,dispense,0.0028,U,55,2
D,74940,2,dispense,0.0030,U,55,2
D,75034,2,dispense,0.0032,U,55,2
D,75130,2,dispense,0.0132,U,55,3
D,75226,2,dispense,0.0223,U,55,3
D,75322,2,dispense,0.0308,U,55,3
D,75417,2,dispense,0.0360,U,55,4
D,75513,2,dispense,0.0393,U,55,4
D,75609,2,dispense,0.0473,U,55,4
D,75706,2,dispense,0.0654,U,55,5
D,75801,2,dispense,0.0930,U,55,5
D,75896,2,dispense,0.1240,U,55,5
D,75990,2,dispense,0.1511,U,55,6
D,76086,2,dispense,0.1689,U,55,6
D,76182,2,dispense,0.1752,U,55,6
D,76278,2,dispense,0.1722,U,55,7
D,76374,2,dispense,0.1661,U,55,7
D,76470,2,dispense,0.1639,U,55,7
D,76565,2,dispense,0.1691,U,55,8
D,76661,2,dispense,0.1810,U,55,8
D,76757,2,dispense,0.1978,U,55,8
D,76851,2,dispense,0.2192,U,55,9
D,76947,2,dispense,0.2448,U,55,9
D,77043,2,dispense,0.2719,U,55,9
D,77139,2,dispense,0.2964,U,55,10
D,77243,2,dispense,0.3146,U,55,10
E,77248,TRIGGER 0.3146 g at t=2.91 s -- ALL STOP
D,77340,2,settle,0.3262,U,0,10
D,77522,2,settle,0.3367,U,0,10
D,77618,2,settle,0.3406,U,0,10
D,77712,2,settle,0.3485,U,0,10
D,77808,2,settle,0.3640,U,0,10
D,77903,2,settle,0.3886,U,0,10
D,77999,2,settle,0.4198,U,0,10
D,78095,2,settle,0.4514,U,0,10
D,78191,2,settle,0.4765,U,0,10
D,78287,2,settle,0.4911,U,0,10
D,78383,2,settle,0.4960,U,0,10
D,78478,2,settle,0.4952,U,0,10
D,78574,2,settle,0.4924,U,0,10
D,78668,2,settle,0.4898,U,0,10
D,78764,2,settle,0.4883,U,0,10
D,78860,2,settle,0.4876,U,0,10
D,78956,2,settle,0.4874,U,0,10
D,79051,2,settle,0.4874,U,0,10
D,79147,2,settle,0.4877,U,0,10
D,79243,2,settle,0.4882,U,0,10
D,79339,2,settle,0.4884,U,0,10
D,79435,2,settle,0.4887,U,0,10
D,79529,2,settle,0.4890,U,0,10
D,79625,2,settle,0.4892,U,0,10
D,79720,2,settle,0.4895,U,0,10
D,79816,2,settle,0.4898,U,0,10
D,79912,2,settle,0.4899,U,0,10
D,80008,2,settle,0.4901,U,0,10
D,80104,2,settle,0.4902,U,0,10
D,80200,2,settle,0.4903,U,0,10
D,80296,2,settle,0.4904,U,0,10
D,80392,2,settle,0.4905,U,0,10
D,80485,2,settle,0.4905,U,0,10
D,80581,2,settle,0.4906,U,0,10
D,80677,2,settle,0.4906,U,0,10
D,80773,2,settle,0.4906,U,0,10
D,80869,2,settle,0.4905,S,0,10
D,80965,2,settle,0.4905,S,0,10
D,81061,2,settle,0.4904,U,0,10
D,81156,2,settle,0.4905,S,0,10
D,81252,2,settle,0.4905,S,0,10
D,81346,2,settle,0.4905,S,0,10
D,81442,2,settle,0.4904,S,0,10
D,81538,2,settle,0.4904,S,0,10
D,81634,2,settle,0.4903,U,0,10
D,81730,2,settle,0.4902,U,0,10
D,81825,2,settle,0.4901,U,0,10
D,81921,2,settle,0.4900,U,0,10
D,82017,2,settle,0.4898,U,0,10
D,82113,2,settle,0.4897,U,0,10
D,82207,2,settle,0.4895,U,0,10
D,82303,2,settle,0.4894,U,0,10
D,82398,2,settle,0.4893,U,0,10
D,82494,2,settle,0.4892,U,0,10
D,82590,2,settle,0.4891,U,0,10
D,82686,2,settle,0.4890,U,0,10
D,82782,2,settle,0.4890,U,0,10
D,82878,2,settle,0.4890,U,0,10
D,82973,2,settle,0.4891,S,0,10
D,83070,2,settle,0.4891,S,0,10
D,83163,2,settle,0.4892,U,0,10
D,83259,2,settle,0.4893,U,0,10
D,83355,2,settle,0.4894,U,0,10
D,83451,2,settle,0.4895,U,0,10
D,83547,2,settle,0.4896,U,0,10
D,83642,2,settle,0.4896,U,0,10
D,83738,2,settle,0.4897,U,0,10
D,83834,2,settle,0.4897,U,0,10
D,83930,2,settle,0.4898,U,0,10
D,84024,2,settle,0.4898,U,0,10
D,84120,2,settle,0.4900,U,0,10
D,84216,2,settle,0.4902,U,0,10
D,84311,2,settle,0.4903,U,0,10
D,84407,2,settle,0.4906,U,0,10
D,84503,2,settle,0.4942,U,0,10
D,84598,2,settle,0.4948,U,0,10
D,84694,2,settle,0.4946,U,0,10
D,84790,2,settle,0.4935,U,0,10
D,84886,2,settle,0.4927,U,0,10
D,84980,2,settle,0.4921,U,0,10
D,85076,2,settle,0.4903,U,0,10
D,85172,2,settle,0.4902,U,0,10
D,85267,2,settle,0.4902,U,0,10
P,86128,2,40.0,1,settled,0.4898
D,86224,2,settle,0.4897,S,0,10
D,86320,2,settle,0.4896,U,0,10
D,86416,2,settle,0.4896,U,0,10
D,86512,2,settle,0.4895,U,0,10
D,86608,2,settle,0.4896,U,0,10
D,86701,2,settle,0.4896,S,0,10
D,86797,2,settle,0.4897,U,0,10
D,86893,2,settle,0.4898,U,0,10
D,86989,2,settle,0.4898,U,0,10
D,87085,2,settle,0.4899,U,0,10
D,87181,2,settle,0.4900,U,0,10
D,87277,2,settle,0.4900,U,0,10
D,87372,2,settle,0.4901,U,0,10
D,87468,2,settle,0.4901,U,0,10
D,87564,2,settle,0.4903,U,0,10
D,87658,2,settle,0.4903,U,0,10
D,87754,2,settle,0.4903,U,0,10
D,87850,2,settle,0.4903,U,0,10
D,87946,2,settle,0.4903,U,0,10
D,88042,2,settle,0.4903,S,0,10
D,88137,2,settle,0.4903,S,0,10
D,88233,2,settle,0.4904,S,0,10
D,88329,2,settle,0.4905,U,0,10
D,88425,2,settle,0.4906,U,0,10
D,88518,2,settle,0.4907,U,0,10
D,88614,2,settle,0.4907,U,0,10
