M,experiment,rapid-dispense-stop-response
M,powder_id,salt
M,trigger_g,0.5
M,fast_rpm,55.0
M,tap_every_polls,3
M,tap_on_ms,60
M,angles_plate_deg,25.0|40.0|50.0|60.0|70.0
M,reps,2
M,noise_baseline_s,60.0
M,settle_stream_s,15.0
E,1223,noise baseline: tare, then 60 s static raw stream
D,56463,0,noise,-0.0023,S,0,0
D,56559,0,noise,-0.0023,S,0,0
D,56655,0,noise,-0.0023,S,0,0
D,56749,0,noise,-0.0023,S,0,0
D,56844,0,noise,-0.0023,S,0,0
D,56940,0,noise,-0.0023,S,0,0
D,57036,0,noise,-0.0023,S,0,0
D,57132,0,noise,-0.0023,S,0,0
D,57228,0,noise,-0.0023,S,0,0
D,57324,0,noise,-0.0023,S,0,0
D,57420,0,noise,-0.0023,S,0,0
D,57515,0,noise,-0.0023,S,0,0
D,57609,0,noise,-0.0023,S,0,0
D,57705,0,noise,-0.0023,S,0,0
D,57801,0,noise,-0.0023,S,0,0
D,57897,0,noise,-0.0023,S,0,0
D,57993,0,noise,-0.0023,S,0,0
D,58088,0,noise,-0.0023,S,0,0
D,58184,0,noise,-0.0024,S,0,0
D,58280,0,noise,-0.0024,S,0,0
D,58376,0,noise,-0.0024,S,0,0
D,58470,0,noise,-0.0024,S,0,0
D,58566,0,noise,-0.0024,S,0,0
D,58661,0,noise,-0.0024,S,0,0
D,58757,0,noise,-0.0024,S,0,0
D,58853,0,noise,-0.0024,S,0,0
D,58949,0,noise,-0.0024,S,0,0
D,59045,0,noise,-0.0024,S,0,0
D,59141,0,noise,-0.0024,S,0,0
D,59237,0,noise,-0.0024,S,0,0
D,59330,0,noise,-0.0024,S,0,0
D,59426,0,noise,-0.0024,S,0,0
D,59522,0,noise,-0.0024,S,0,0
D,59618,0,noise,-0.0024,S,0,0
D,59714,0,noise,-0.0024,S,0,0
D,59810,0,noise,-0.0024,S,0,0
D,59905,0,noise,-0.0025,S,0,0
D,60001,0,noise,-0.0025,S,0,0
D,60097,0,noise,-0.0025,S,0,0
D,60193,0,noise,-0.0025,S,0,0
D,60287,0,noise,-0.0025,S,0,0
D,60383,0,noise,-0.0025,S,0,0
D,60478,0,noise,-0.0025,S,0,0
D,60574,0,noise,-0.0025,S,0,0
D,60670,0,noise,-0.0025,S,0,0
D,60766,0,noise,-0.0025,S,0,0
D,60862,0,noise,-0.0025,S,0,0
D,60958,0,noise,-0.0025,S,0,0
D,61054,0,noise,-0.0025,S,0,0
D,61147,0,noise,-0.0025,S,0,0
D,61243,0,noise,-0.0025,S,0,0
D,61339,0,noise,-0.0025,S,0,0
D,61435,0,noise,-0.0025,S,0,0
D,61531,0,noise,-0.0025,S,0,0
D,61627,0,noise,-0.0025,S,0,0
D,61722,0,noise,-0.0026,S,0,0
