powder_id,run,t_ms,mass_g,frame,tilt_deg,auger_rpm_cmd,taps_cum,phase
salt,run1,27231,0.9409,S,25.0,14.86,0,dose
salt,run1,27327,0.9409,S,25.0,14.86,0,dose
salt,run1,27423,0.9409,S,25.0,14.86,0,dose
salt,run1,27517,0.9409,S,25.0,14.86,0,dose
salt,run1,27612,0.9409,S,25.0,14.86,0,dose
salt,run1,27708,0.9409,S,25.0,14.86,0,dose
salt,run1,27804,0.9409,S,25.0,14.86,0,dose
salt,run1,27900,0.9409,S,25.0,14.86,0,dose
salt,run1,27996,0.9409,S,25.0,14.86,0,dose
salt,run1,28092,0.9409,S,25.0,14.86,0,dose
salt,run1,28188,0.9409,S,25.0,14.86,0,dose
salt,run1,28283,0.9409,S,25.0,14.86,0,dose
salt,run1,28377,0.9409,S,25.0,14.86,0,dose
salt,run1,28473,0.9409,S,25.0,14.86,0,dose
salt,run1,28569,0.9409,S,25.0,14.86,0,dose
salt,run1,28665,0.9409,S,25.0,14.86,0,dose
salt,run1,28761,0.9409,S,25.0,14.86,0,dose
salt,run1,28857,0.9409,S,25.0,14.86,0,dose
salt,run1,28962,0.9409,S,25.0,14.86,0,dose
salt,run1,29056,0.9409,S,25.0,14.86,0,dose
salt,run1,29150,0.9409,S,25.0,14.86,0,dose
salt,run1,29244,0.9409,S,25.0,14.86,0,dose
salt,run1,29338,0.9409,S,25.0,14.86,0,dose
salt,run1,29432,0.9409,S,25.0,14.86,0,dose
salt,run1,29526,0.9409,S,25.0,14.86,0,dose
salt,run1,29621,0.9409,S,25.0,14.86,0,dose
salt,run1,29717,0.9409,S,25.0,14.86,0,dose
salt,run1,29813,0.9409,S,25.0,14.86,0,dose
salt,run1,29909,0.9409,S,25.0,14.86,0,dose
salt,run1,30005,0.9409,S,25.0,14.86,0,dose
salt,run1,30101,0.9409,S,25.0,14.86,0,dose
salt,run1,30195,0.9409,S,25.0,14.86,0,dose
salt,run1,30290,0.9408,S,25.0,14.86,0,dose
salt,run1,30386,0.9408,S,25.0,14.88,0,dose
salt,run1,30482,0.9408,S,25.0,14.88,0,dose
salt,run1,30578,0.9408,S,25.0,14.89,0,dose
salt,run1,30674,0.9408,S,25.0,14.89,0,dose
salt,run1,30770,0.9408,S,25.0,14.89,0,dose
salt,run1,30865,0.9408,S,25.0,14.89,0,dose
salt,run1,30961,0.9408,S,25.0,14.89,0,dose
salt,run1,31055,0.9408,S,25.0,14.89,0,dose
salt,run1,31151,0.9408,S,25.0,14.89,0,dose
salt,run1,31247,0.9408,S,25.0,14.89,0,dose
salt,run1,31343,0.9408,S,25.0,14.89,0,dose
salt,run1,31439,0.9408,S,25.0,14.89,0,dose
salt,run1,31534,0.9408,S,25.0,14.89,0,dose
salt,run1,31630,0.9408,S,25.0,14.89,0,dose
salt,run1,31726,0.9408,S,25.0,14.89,0,dose
salt,run1,31822,0.9408,S,25.0,14.89,0,dose
salt,run1,31918,0.9408,S,25.0,14.88,0,dose
salt,run1,32012,0.9408,S,25.0,14.88,0,dose
salt,run1,32107,0.9408,S,25.0,14.88,0,dose
salt,run1,32203,0.9408,S,25.0,14.88,0,dose
salt,run1,32299,0.9408,S,25.0,14.88,0,dose
salt,run1,32395,0.9408,S,25.0,14.88,0,dose
salt,run1,32491,0.9408,S,25.0,14.88,0,dose
salt,run1,32587,0.9408,S,25.0,14.88,0,dose
salt,run1,32683,0.9408,S,25.0,14.88,0,dose
salt,run1,32779,0.9408,S,25.0,14.88,0,dose
salt,run1,32873,0.9408,S,25.0,14.88,0,dose
salt,run1,32968,0.9408,S,25.0,14.88,0,dose
salt,run1,33064,0.9408,S,25.0,14.88,0,dose
salt,run1,33543,0.9408,S,25.0,0.00,2,dose
salt,run1,33639,0.9408,S,25.0,14.88,2,dose
salt,run1,33733,0.9408,S,25.0,14.88,2,dose
salt,run1,33829,0.9408,S,25.0,14.88,2,dose
salt,run1,33925,0.9408,S,25.0,14.88,2,dose
salt,run1,34021,0.9408,S,25.0,14.88,2,dose
salt,run1,34116,0.9408,S,25.0,14.88,2,dose
salt,run1,34212,0.9408,S,25.0,14.88,2,dose
salt,run1,34308,0.9408,S,25.0,14.88,2,dose
salt,run1,34404,0.9408,S,25.0,14.88,2,dose
salt,run1,34500,0.9408,S,25.0,14.88,2,dose
salt,run1,34596,0.9408,S,25.0,14.88,2,dose
salt,run1,34690,0.9408,S,25.0,14.88,2,dose
salt,run1,34785,0.9408,S,25.0,14.88,2,dose
salt,run1,34881,0.9408,S,25.0,14.88,2,dose
salt,run1,34977,0.9408,S,25.0,14.88,2,dose
salt,run1,35073,0.9408,S,25.0,14.88,2,dose
salt,run1,35169,0.9408,S,25.0,14.88,2,dose
salt,run1,35264,0.9408,S,25.0,14.88,2,dose
salt,run1,35369,0.9408,S,25.0,14.88,2,dose
salt,run1,35463,0.9408,S,25.0,14.88,2,dose
salt,run1,35557,0.9408,S,25.0,14.88,2,dose
salt,run1,35651,0.9408,S,25.0,14.88,2,dose
salt,run1,35745,0.9408,S,25.0,14.88,2,dose
salt,run1,35839,0.9408,S,25.0,14.88,2,dose
salt,run1,35933,0.9408,S,25.0,14.88,2,dose
salt,run1,36029,0.9408,S,25.0,14.88,2,dose
salt,run1,36125,0.9408,S,25.0,14.88,2,dose
salt,run1,36221,0.9408,S,25.0,14.88,2,dose
salt,run1,36317,0.9408,S,25.0,14.88,2,dose
salt,run1,36411,0.9408,S,25.0,14.88,2,dose
salt,run1,36506,0.9408,S,25.0,14.88,2,dose
salt,run1,36602,0.9408,S,25.0,14.88,2,dose
salt,run1,36698,0.9408,S,25.0,14.88,2,dose
salt,run1,36794,0.9408,S,25.0,14.88,2,dose
salt,run1,36890,0.9408,S,25.0,14.88,2,dose
salt,run1,36986,0.9408,S,25.0,14.88,2,dose
salt,run1,37082,0.9408,S,25.0,14.88,2,dose
salt,run1,37177,0.9408,S,25.0,14.88,2,dose
salt,run1,37273,0.9408,S,25.0,14.88,2,dose
salt,run1,37367,0.9408,S,25.0,14.88,2,dose
salt,run1,37463,0.9408,S,25.0,14.88,2,dose
salt,run1,37559,0.9408,S,25.0,14.88,2,dose
salt,run1,37655,0.9408,S,25.0,14.88,2,dose
salt,run1,37750,0.9408,S,25.0,14.88,2,dose
salt,run1,37846,0.9408,S,25.0,14.88,2,dose
salt,run1,37942,0.9408,S,25.0,14.88,2,dose
salt,run1,38038,0.9408,S,25.0,14.88,2,dose
salt,run1,38134,0.9408,S,25.0,14.88,2,dose
salt,run1,38228,0.9408,S,25.0,14.88,2,dose
salt,run1,38324,0.9408,S,25.0,14.88,2,dose
salt,run1,38419,0.9408,S,25.0,14.88,2,dose
salt,run1,38515,0.9408,S,25.0,14.88,2,dose
salt,run1,38611,0.9408,S,25.0,14.88,2,dose
